recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Baby Toddler bananas, Stage 2",1 pouch,110.0,4.0,21.34,0.3,0.2,26.0,1.0,2.0,0.0,21.9,0.0,23.474,1.1,0.22,4.4,0.33,28.6,2.2,24.09,0.0,0.0
Baby Toddler bar,1 bar,20.0,1053.0,68.63,13.16,5.3,19.0,5.43,157.0,14.0,2.4,0.0,13.725999999999999,1.0859999999999999,1.06,210.6,2.6319999999999997,3.8,31.4,0.48,0.0,2.8
Baby Toddler beef,1 tablespoon,15.0,5.0,2.43,0.98,2.52,11.0,12.03,41.0,0.0,2.1,0.4,0.36450000000000005,1.8045,0.37799999999999995,0.75,0.147,1.65,6.15,0.315,0.06,0.0
Baby Toddler beets,1 jar,110.0,14.0,7.7,0.32,0.1,14.0,1.3,83.0,1.0,2.4,0.0,8.47,1.43,0.11,15.4,0.35200000000000004,15.4,91.3,2.64,0.0,1.1
Baby Toddler biscuit,Quantity not specified,7.0,320.0,80.53,4.72,2.97,51.0,11.37,300.0,7.0,2.3,0.1,5.6371,0.7958999999999999,0.20790000000000003,22.4,0.33039999999999997,3.57,21.0,0.16099999999999998,0.007000000000000001,0.49
"Baby Toddler carrots, Stage 1",1 tub,70.0,22.0,6.0,0.37,0.1,9.0,0.8,69.0,573.0,5.7,0.0,4.2,0.56,0.07,15.4,0.259,6.3,48.3,3.99,0.0,401.1
"Baby Toddler carrots, Stage 2",1 tub,110.0,23.0,7.2,0.39,0.2,11.0,0.8,49.0,591.0,5.5,0.0,7.92,0.88,0.22,25.3,0.429,12.1,53.9,6.05,0.0,650.1
"Baby Toddler cereal, NFS",1 pouch,110.0,39.0,18.4,2.29,0.96,22.0,1.92,2.0,1.0,9.6,0.3,20.24,2.112,1.056,42.9,2.519,24.2,2.2,10.56,0.33,1.1
"Baby Toddler cereal, barley, dry",1 tablespoon,3.8,643.0,69.4,48.21,6.6,115.0,13.2,33.0,0.0,58.3,7.1,2.6372000000000004,0.5015999999999999,0.25079999999999997,24.434,1.8319800000000002,4.37,1.254,2.2154,0.2698,0.0
"Baby Toddler cereal, multigrain with fruit, dry",Quantity not specified,15.0,761.0,80.47,28.56,6.43,96.0,6.53,32.0,1.0,55.7,0.0,12.0705,0.9795,0.9644999999999999,114.15,4.284,14.4,4.8,8.355,0.0,0.15
"Baby Toddler cereal, multigrain with fruit, ready-to-eat",1 pouch,110.0,26.0,19.24,1.14,0.68,16.0,1.46,2.0,1.0,9.6,0.0,21.163999999999998,1.6059999999999999,0.7480000000000001,28.6,1.254,17.6,2.2,10.56,0.0,1.1
"Baby Toddler cereal, multigrain, dry",Quantity not specified,15.0,800.0,80.06,30.0,6.67,95.0,6.67,33.0,0.0,58.3,0.0,12.009,1.0005,1.0005,120.0,4.5,14.25,4.95,8.745,0.0,0.0
