recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Cashews, NFS",1 cup,130.0,45.0,32.69,6.0,46.35,260.0,15.31,16.0,0.0,0.0,0.0,42.497,19.903,60.255,58.5,7.8,338.0,20.8,0.0,0.0,0.0
"Cashews, honey roasted",1 nut,1.5,31.0,43.7,4.07,41.18,175.0,10.31,394.0,0.0,0.0,0.0,0.6555000000000001,0.15465,0.6176999999999999,0.465,0.06105000000000001,2.625,5.91,0.0,0.0,0.0
"Cashews, lightly salted",1 cup,130.0,44.0,31.55,5.8,47.72,251.0,14.78,208.0,0.0,0.0,0.0,41.015,19.214,62.035999999999994,57.2,7.54,326.3,270.4,0.0,0.0,0.0
"Cashews, salted",1 package,50.0,44.0,31.4,5.77,47.48,250.0,14.7,399.0,0.0,0.0,0.0,15.7,7.35,23.74,22.0,2.885,125.0,199.5,0.0,0.0,0.0
"Cashews, unroasted",1 package,50.0,45.0,32.69,6.0,46.35,260.0,15.31,16.0,0.0,0.0,0.0,16.345,7.655,23.175,22.5,3.0,130.0,8.0,0.0,0.0,0.0
"Cashews, unsalted",Quantity not specified,28.0,44.0,31.71,5.82,47.96,252.0,14.85,16.0,0.0,0.0,0.0,8.8788,4.158,13.4288,12.32,1.6296000000000002,70.56,4.48,0.0,0.0,0.0
"Cassava, cooked",Quantity not specified,80.0,17.0,39.62,0.28,3.03,22.0,1.42,145.0,13.0,18.2,0.0,31.695999999999998,1.136,2.424,13.6,0.22400000000000003,17.6,116.0,14.56,0.0,10.4
"Cauliflower, NS as to form, cooked",Quantity not specified,80.0,23.0,5.02,0.43,2.93,15.0,1.94,156.0,12.0,41.3,0.0,4.016,1.5519999999999998,2.344,18.4,0.344,12.0,124.8,33.04,0.0,9.6
"Cauliflower, fresh, cooked with butter or margarine",1 piece,13.0,23.0,5.02,0.42,2.56,15.0,1.95,165.0,24.0,41.3,0.1,0.6526,0.2535,0.3328,2.99,0.0546,1.95,21.45,5.369,0.013000000000000001,3.12
"Cauliflower, fresh, cooked with oil",1 piece,13.0,22.0,5.01,0.43,3.31,15.0,1.94,147.0,0.0,41.3,0.0,0.6513,0.2522,0.4303,2.86,0.0559,1.95,19.11,5.369,0.0,0.0
"Cauliflower, fresh, cooked, fat added, NS as to fat type",1 floweret,13.0,23.0,5.02,0.43,2.93,15.0,1.94,156.0,12.0,41.3,0.0,0.6526,0.2522,0.3809,2.99,0.0559,1.95,20.28,5.369,0.0,1.56
"Cauliflower, fresh, cooked, no added fat",1 cup,155.0,23.0,5.16,0.44,0.29,16.0,1.99,152.0,0.0,42.5,0.0,7.998000000000001,3.0845,0.44949999999999996,35.65,0.682,24.8,235.6,65.875,0.0,0.0
"Cauliflower, frozen, cooked with butter or margarine",1 cup,190.0,17.0,3.64,0.4,2.4,9.0,1.58,147.0,23.0,30.3,0.0,6.916,3.002,4.56,32.3,0.76,17.1,279.3,57.57,0.0,43.7
"Cauliflower, frozen, cooked with oil",1 cup,190.0,17.0,3.63,0.4,3.12,9.0,1.56,130.0,0.0,30.3,0.0,6.896999999999999,2.9640000000000004,5.928000000000001,32.3,0.76,17.1,247.0,57.57,0.0,0.0
"Cauliflower, frozen, cooked, fat added, NS as to fat type",Quantity not specified,95.0,17.0,3.64,0.4,2.76,9.0,1.57,138.0,11.0,30.3,0.0,3.458,1.4915,2.622,16.15,0.38,8.55,131.1,28.785,0.0,10.45
"Cauliflower, frozen, cooked, no added fat",1 cup,185.0,17.0,3.74,0.41,0.22,9.0,1.6,134.0,0.0,31.2,0.0,6.9190000000000005,2.96,0.40700000000000003,31.45,0.7585,16.65,247.9,57.72,0.0,0.0
"Cauliflower, pickled",Quantity not specified,30.0,20.0,8.98,0.35,0.25,13.0,1.59,969.0,0.0,34.0,0.0,2.6940000000000004,0.47700000000000004,0.075,6.0,0.105,3.9,290.7,10.2,0.0,0.0
"Cauliflower, raw",Quantity not specified,55.0,22.0,4.97,0.42,0.28,15.0,1.92,30.0,0.0,48.2,0.0,2.7335,1.056,0.15400000000000003,12.1,0.23099999999999998,8.25,16.5,26.51,0.0,0.0
Caviar,1 tablespoon,16.0,275.0,4.0,11.88,17.9,300.0,24.6,1500.0,271.0,0.0,2.9,0.64,3.9360000000000004,2.864,44.0,1.9008,48.0,240.0,0.0,0.46399999999999997,43.36
Celery juice,1 cup,236.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,7.8351999999999995,1.1564,0.3776,108.56,0.0,25.96,228.92,7.316,0.0,51.92
"Celery, cooked",1 cup,155.0,48.0,3.46,0.0,2.9,11.0,0.52,231.0,34.0,2.7,0.0,5.3629999999999995,0.806,4.495,74.4,0.0,17.05,358.05,4.185,0.0,52.7
"Celery, pickled",1 cup,150.0,40.0,7.61,0.0,0.15,9.0,0.41,1025.0,17.0,2.2,0.0,11.415,0.6149999999999999,0.225,60.0,0.0,13.5,1537.5,3.3,0.0,25.5
"Celery, raw",1 stick,4.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,0.1328,0.0196,0.0064,1.84,0.0,0.44,3.88,0.124,0.0,0.88
"Cereal or Granola bar, NFS",1 New Trail,40.0,61.0,64.4,2.95,19.8,97.0,10.1,294.0,2.0,0.9,0.0,25.76,4.04,7.92,24.4,1.18,38.8,117.6,0.36,0.0,0.8
Cereal or granola bar (General Mills Fiber One Chewy Bar),1 bar,40.0,250.0,69.82,0.9,10.0,190.0,5.0,237.0,0.0,1.2,0.0,27.927999999999997,2.0,4.0,100.0,0.36,76.0,94.8,0.48,0.0,0.0
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),1 bar,35.0,116.0,72.27,8.71,11.43,63.0,5.71,185.0,302.0,0.1,0.0,25.2945,1.9985,4.0005,40.6,3.0485,22.05,64.75,0.035,0.0,105.7
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),1 bar,21.0,61.0,64.4,2.95,19.8,97.0,10.1,294.0,2.0,0.9,0.0,13.524000000000001,2.121,4.158,12.81,0.6195,20.37,61.74,0.18900000000000003,0.0,0.42
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),1 bar,35.0,57.0,61.14,1.44,22.86,102.0,9.14,414.0,142.0,0.3,0.0,21.399,3.1990000000000003,8.001,19.95,0.504,35.7,144.9,0.105,0.0,49.7
Cereal or granola bar (KIND Fruit and Nut Bar),1 bar,40.0,109.0,43.74,3.09,32.28,162.0,13.89,45.0,0.0,0.1,0.0,17.496000000000002,5.556,12.912,43.6,1.236,64.8,18.0,0.04,0.0,0.0
Cereal or granola bar (Kashi Chewy),Quantity not specified,78.0,103.0,63.42,1.62,7.69,321.0,16.67,321.0,17.0,0.4,0.2,49.467600000000004,13.002600000000003,5.998200000000001,80.34,1.2636,250.38,250.38,0.31200000000000006,0.15600000000000003,13.26
Cereal or granola bar (Kashi Crunchy),Quantity not specified,35.0,0.0,53.26,3.39,15.71,107.0,18.57,293.0,2.0,0.0,0.0,18.641,6.4995,5.4985,0.0,1.1865,37.45,102.55,0.0,0.0,0.7
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),Quantity not specified,37.0,576.0,67.61,6.14,8.67,37.0,4.22,354.0,604.0,7.8,0.0,25.015700000000002,1.5614,3.2079000000000004,213.12,2.2718,13.69,130.98,2.8859999999999997,0.0,223.48
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),1 Nutri-Grain Bar,32.0,65.0,66.72,5.65,10.93,105.0,9.38,195.0,267.0,0.2,0.8,21.3504,3.0016000000000003,3.4976,20.8,1.808,33.6,62.4,0.064,0.256,85.44
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),1 Nutri-Grain Bar,37.0,576.0,67.61,6.14,8.67,37.0,4.22,354.0,604.0,7.8,0.0,25.015700000000002,1.5614,3.2079000000000004,213.12,2.2718,13.69,130.98,2.8859999999999997,0.0,223.48
Cereal or granola bar (Kellogg's Special K bar),1 bar,23.0,31.0,72.73,2.56,9.09,46.0,9.09,428.0,0.0,0.0,0.0,16.7279,2.0907,2.0907,7.13,0.5888,10.58,98.44,0.0,0.0,0.0
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),1 bar,24.0,417.0,69.4,2.03,12.5,48.0,5.55,312.0,0.0,0.1,0.0,16.656000000000002,1.3319999999999999,3.0,100.08,0.48719999999999997,11.52,74.88,0.024000000000000004,0.0,0.0
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),Quantity not specified,24.0,333.0,79.17,1.5,8.33,71.0,4.17,313.0,3.0,0.5,0.0,19.000799999999998,1.0008,1.9992,79.92,0.36,17.04,75.12,0.12,0.0,0.72
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),Quantity not specified,31.0,65.0,64.96,1.16,20.42,55.0,7.52,269.0,4.0,0.3,0.1,20.1376,2.3312,6.330200000000001,20.15,0.35960000000000003,17.05,83.39,0.09299999999999999,0.031,1.24
Cereal or granola bar (Quaker Chewy Granola Bar),1 bar,24.0,41.0,70.2,2.19,16.57,64.0,5.65,291.0,0.0,0.0,0.0,16.848000000000003,1.3560000000000003,3.9768,9.84,0.5256000000000001,15.36,69.84,0.0,0.0,0.0
Cereal or granola bar (Quaker Granola Bites),1 pouch,20.0,41.0,66.27,1.56,17.5,69.0,7.17,167.0,2.0,0.2,0.0,13.253999999999998,1.4340000000000002,3.5,8.2,0.31200000000000006,13.8,33.4,0.04,0.0,0.4
"Cereal or granola bar with nuts, chocolate coated",1 Kudos Crunchy Nut Snack,35.0,108.0,54.1,1.45,31.2,67.0,9.6,193.0,8.0,0.6,0.0,18.935,3.36,10.92,37.8,0.5075,23.45,67.55,0.21,0.0,2.8
"Cereal or granola bar, chocolate coated, NFS",1 Kudos Chocolate and Granola Snacks,36.0,65.0,64.96,1.16,20.42,55.0,7.52,269.0,4.0,0.3,0.1,23.3856,2.7072,7.351200000000001,23.4,0.41759999999999997,19.8,96.84,0.10799999999999998,0.036000000000000004,1.44
"Cereal or granola bar, coated with non-chocolate coating",1 Quaker Oats bar,28.0,108.0,53.4,1.45,31.1,67.0,10.2,193.0,5.0,0.6,0.0,14.952,2.856,8.708,30.24,0.406,18.76,54.04,0.168,0.0,1.4
"Cereal or granola bar, fruit and nut",Quantity not specified,40.0,109.0,43.74,3.09,32.28,162.0,13.89,45.0,0.0,0.1,0.0,17.496000000000002,5.556,12.912,43.6,1.236,64.8,18.0,0.04,0.0,0.0
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",Quantity not specified,28.0,250.0,69.82,0.9,10.0,190.0,5.0,237.0,0.0,1.2,0.0,19.549599999999998,1.4,2.8,70.0,0.252,53.2,66.36,0.336,0.0,0.0
"Cereal or granola bar, lowfat, NFS",1 bar,24.0,333.0,79.17,1.5,8.33,71.0,4.17,313.0,3.0,0.5,0.0,19.000799999999998,1.0008,1.9992,79.92,0.36,17.04,75.12,0.12,0.0,0.72
"Cereal or granola bar, nonfat",Quantity not specified,43.0,3.0,77.6,4.0,0.9,50.0,5.9,16.0,1.0,1.7,0.0,33.367999999999995,2.5370000000000004,0.387,1.29,1.72,21.5,6.88,0.731,0.0,0.43
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",Quantity not specified,35.0,136.0,60.13,1.49,20.0,95.0,8.6,486.0,5.0,0.2,0.0,21.0455,3.01,7.0,47.6,0.5215,33.25,170.1,0.07,0.0,1.75
"Cereal or granola bar, peanuts , oats, sugar, wheat germ",Quantity not specified,43.0,61.0,64.4,2.95,19.8,97.0,10.1,294.0,2.0,0.9,0.0,27.692000000000004,4.343,8.514,26.23,1.2685000000000002,41.71,126.42,0.387,0.0,0.86
"Cereal or granola bar, reduced sugar, NFS",1 bar,24.0,417.0,69.4,2.03,12.5,48.0,5.55,312.0,0.0,0.1,0.0,16.656000000000002,1.3319999999999999,3.0,100.08,0.48719999999999997,11.52,74.88,0.024000000000000004,0.0,0.0
"Cereal or granola bar, with coconut, chocolate coated",1 Little Debbie Macaroo bar,39.0,42.0,55.2,1.75,32.2,56.0,5.2,152.0,0.0,0.5,0.0,21.528000000000002,2.028,12.558000000000002,16.38,0.6825,21.84,59.28,0.195,0.0,0.0
"Cereal or granola bar, with rice cereal",1 Rice Krispies bar,28.0,3.0,80.5,2.2,9.0,13.0,3.4,351.0,270.0,0.0,0.0,22.54,0.9520000000000001,2.52,0.84,0.6160000000000001,3.64,98.28,0.0,0.0,75.6
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",Quantity not specified,35.0,286.0,74.29,1.03,11.43,62.0,5.71,271.0,475.0,0.0,0.0,26.0015,1.9985,4.0005,100.1,0.36050000000000004,21.7,94.85,0.0,0.0,166.25
"Cereal, K's, flavored",1 cup,35.0,12.0,80.94,26.99,1.15,21.0,7.33,617.0,0.0,22.5,4.9,28.329,2.5655,0.4025,4.2,9.4465,7.35,215.95,7.875,1.715,0.0
"Cereal, K's, plain",Quantity not specified,35.0,36.0,68.01,29.31,1.58,26.0,19.04,680.0,0.0,22.8,5.0,23.803500000000003,6.664,0.553,12.6,10.2585,9.1,238.0,7.98,1.75,0.0
"Cereal, O's, NFS",1 prepackaged single serving,30.0,360.0,71.96,21.3,5.77,110.0,10.52,543.0,0.0,22.9,5.0,21.587999999999997,3.1559999999999997,1.7309999999999999,108.0,6.39,33.0,162.9,6.87,1.5,0.0
"Cereal, O's, flavored",1 cup,40.0,353.0,75.99,11.73,5.37,90.0,8.62,580.0,0.0,22.8,5.0,30.396,3.4479999999999995,2.148,141.2,4.692,36.0,232.0,9.12,2.0,0.0
"Cereal, O's, honey nut",1 prepackaged single serving,30.0,353.0,75.99,11.73,5.37,90.0,8.62,580.0,0.0,22.8,5.0,22.796999999999997,2.586,1.611,105.9,3.519,27.0,174.0,6.84,1.5,0.0
"Cereal, O's, multigrain",Quantity not specified,30.0,342.0,76.24,46.58,3.76,77.0,8.54,385.0,3.0,22.6,4.9,22.872,2.562,1.128,102.6,13.973999999999998,23.1,115.5,6.78,1.47,0.9
"Cereal, O's, plain",1 piece,0.1,368.0,67.92,30.87,6.17,130.0,12.42,506.0,0.0,22.9,5.0,0.06792000000000001,0.01242,0.00617,0.36800000000000005,0.03087,0.13,0.506,0.0229,0.005,0.0
"Cereal, bran flakes, flavored",Quantity not specified,60.0,24.0,78.74,9.85,1.18,28.0,8.13,347.0,0.0,0.3,4.9,47.244,4.878000000000001,0.708,14.4,5.91,16.8,208.2,0.18,2.94,0.0
"Cereal, bran flakes, plain",1 cup,50.0,19.0,75.03,28.1,2.42,29.0,9.65,585.0,0.0,23.1,5.0,37.515,4.825,1.21,9.5,14.05,14.5,292.5,11.55,2.5,0.0
"Cereal, chocolate crispy",1 prepackaged single serving,30.0,10.0,81.85,9.56,4.24,28.0,5.35,547.0,0.0,0.0,4.9,24.555,1.605,1.272,3.0,2.8680000000000003,8.4,164.1,0.0,1.47,0.0
"Cereal, chocolate puffs",1 cup,35.0,169.0,81.02,10.27,4.98,44.0,5.39,425.0,5.0,22.7,4.9,28.357,1.8864999999999998,1.743,59.15,3.5945,15.4,148.75,7.945,1.715,1.75
"Cereal, cinnamon toast",Quantity not specified,40.0,327.0,75.23,9.4,9.92,18.0,5.88,539.0,0.0,22.8,5.0,30.092000000000002,2.352,3.968,130.8,3.76,7.2,215.6,9.12,2.0,0.0
"Cereal, cooked, NFS",Quantity not specified,240.0,12.0,11.36,0.68,1.09,24.0,2.21,70.0,0.0,0.0,0.0,27.263999999999996,5.303999999999999,2.616,28.8,1.6320000000000001,57.6,168.0,0.0,0.0,0.0
"Cereal, corn flakes, flavored",1 prepackaged single serving,30.0,3.0,84.68,9.9,1.27,21.0,4.77,516.0,7.0,0.0,5.1,25.404,1.431,0.381,0.9,2.97,6.3,154.8,0.0,1.53,2.1
"Cereal, corn flakes, plain",1 cup,30.0,4.0,79.52,28.01,1.6,29.0,6.4,703.0,10.0,0.0,5.0,23.855999999999998,1.92,0.48,1.2,8.403,8.7,210.9,0.0,1.5,3.0
"Cereal, corn puffs",Quantity not specified,25.0,324.0,77.82,27.99,2.57,28.0,7.74,525.0,9.0,22.8,5.0,19.455,1.935,0.6425,81.0,6.9975,7.0,131.25,5.7,1.25,2.25
"Cereal, corn squares",Quantity not specified,30.0,330.0,77.14,28.47,2.61,28.0,7.88,729.0,9.0,23.2,5.0,23.142,2.364,0.7829999999999999,99.0,8.540999999999999,8.4,218.7,6.96,1.5,2.7
"Cereal, corn squares, flavored",Quantity not specified,40.0,325.0,80.74,9.8,3.32,23.0,5.58,662.0,7.0,23.0,5.0,32.296,2.2319999999999998,1.3279999999999998,130.0,3.92,9.2,264.8,9.2,2.0,2.8
"Cereal, crunch",1 cup,35.0,8.0,82.08,9.92,5.53,27.0,4.31,701.0,5.0,0.0,0.0,28.727999999999998,1.5085,1.9355000000000002,2.8,3.472,9.45,245.35,0.0,0.0,1.75
"Cereal, flavored puffs",Quantity not specified,30.0,8.0,83.81,9.61,2.16,21.0,5.66,424.0,4.0,0.0,4.9,25.143,1.6980000000000002,0.6480000000000001,2.4,2.8829999999999996,6.3,127.2,0.0,1.47,1.2
"Cereal, frosted oats with marshmallows",1 prepackaged single serving,30.0,357.0,76.61,11.73,4.07,84.0,8.17,639.0,0.0,23.3,5.1,22.983,2.451,1.221,107.1,3.519,25.2,191.7,6.99,1.53,0.0
"Cereal, fruit crispy",Quantity not specified,35.0,5.0,82.9,0.15,3.89,14.0,4.28,542.0,0.0,22.9,5.0,29.015,1.4980000000000002,1.3615000000000002,1.75,0.0525,4.9,189.7,8.015,1.75,0.0
"Cereal, fruit rings",1 cup,30.0,5.0,82.24,9.68,3.23,21.0,5.14,504.0,6.0,22.8,5.0,24.671999999999997,1.5419999999999998,0.9690000000000001,1.5,2.904,6.3,151.2,6.84,1.5,1.8
"Cereal, granola",1 cup,110.0,51.0,67.35,3.07,13.01,106.0,9.82,161.0,0.0,0.1,0.0,74.085,10.802,14.311,56.1,3.377,116.6,177.1,0.11,0.0,0.0
"Cereal, multigrain",1 cup,50.0,28.0,73.96,10.96,3.59,52.0,11.64,233.0,1.0,0.0,0.0,36.98,5.82,1.795,14.0,5.48,26.0,116.5,0.0,0.0,0.5
"Cereal, oat bran, ready-to-eat",1 prepackaged single serving,30.0,42.0,68.34,12.27,10.15,109.0,10.4,235.0,0.0,0.0,0.0,20.502000000000002,3.12,3.045,12.6,3.6809999999999996,32.7,70.5,0.0,0.0,0.0
"Cereal, oat bunches",1 prepackaged single serving,30.0,15.0,76.25,28.22,6.06,41.0,7.43,428.0,4.0,0.0,5.0,22.875,2.2289999999999996,1.8179999999999998,4.5,8.466,12.3,128.4,0.0,1.5,1.2
"Cereal, oat squares",1 prepackaged single serving,30.0,358.0,73.27,30.08,5.22,109.0,10.4,388.0,0.0,0.0,0.0,21.980999999999998,3.12,1.5659999999999998,107.4,9.024,32.7,116.4,0.0,0.0,0.0
"Cereal, other, NFS",1 cup,35.0,116.0,78.46,16.06,4.44,50.0,6.88,530.0,3.0,14.3,5.0,27.461,2.408,1.554,40.6,5.620999999999999,17.5,185.5,5.005,1.75,1.05
"Cereal, other, chocolate",Quantity not specified,40.0,90.0,81.44,9.92,4.61,36.0,5.37,486.0,3.0,11.4,4.9,32.576,2.148,1.844,36.0,3.968,14.4,194.4,4.56,1.96,1.2
"Cereal, other, fruit flavored",1 prepackaged single serving,30.0,5.0,82.57,4.92,3.56,18.0,4.71,523.0,3.0,22.9,5.0,24.771,1.413,1.068,1.5,1.476,5.4,156.9,6.87,1.5,0.9
"Cereal, other, honey",Quantity not specified,40.0,184.0,76.12,19.98,5.71,66.0,8.02,504.0,2.0,11.4,5.0,30.448,3.2079999999999997,2.2840000000000003,73.6,7.992000000000001,26.4,201.6,4.56,2.0,0.8
"Cereal, other, peanut butter",Quantity not specified,40.0,331.0,73.05,10.25,11.1,37.0,7.34,525.0,5.0,22.9,5.0,29.22,2.9360000000000004,4.44,132.4,4.1,14.8,210.0,9.16,2.0,2.0
"Cereal, other, plain",1 cup,30.0,186.0,73.72,29.44,3.89,80.0,9.41,605.0,5.0,11.4,5.0,22.116,2.823,1.167,55.8,8.832,24.0,181.5,3.42,1.5,1.5
"Cereal, plain puffs",Quantity not specified,15.0,13.0,77.2,0.86,1.66,36.0,9.5,4.0,0.0,0.0,0.0,11.58,1.425,0.249,1.95,0.129,5.4,0.6,0.0,0.0,0.0
"Cereal, ready-to-eat, NFS",Quantity not specified,35.0,182.0,77.71,15.55,4.01,66.0,7.74,527.0,3.0,17.1,5.0,27.1985,2.7090000000000005,1.4035,63.7,5.4425,23.1,184.45,5.985,1.75,1.05
"Cereal, reduced sugar",Quantity not specified,35.0,182.0,76.89,10.75,3.67,54.0,8.42,509.0,3.0,0.0,5.0,26.9115,2.947,1.2845,63.7,3.7625,18.9,178.15,0.0,1.75,1.05
"Cereal, rice crispy, flavored",Quantity not specified,40.0,6.0,86.01,9.12,0.92,14.0,4.95,355.0,0.0,0.0,4.9,34.404,1.98,0.36800000000000005,2.4,3.6479999999999997,5.6,142.0,0.0,1.96,0.0
"Cereal, rice crispy, plain",Quantity not specified,25.0,8.0,79.81,26.69,1.21,21.0,6.96,505.0,0.0,0.0,4.9,19.9525,1.74,0.3025,2.0,6.6725,5.25,126.25,0.0,1.225,0.0
"Cereal, rice squares",Quantity not specified,30.0,323.0,77.43,26.87,2.19,21.0,7.01,813.0,0.0,22.6,4.9,23.229,2.1029999999999998,0.657,96.9,8.061,6.3,243.9,6.78,1.47,0.0
"Cereal, shredded wheat, flavored",1 cup,50.0,18.0,78.92,27.72,1.41,29.0,9.52,2.0,0.0,0.0,0.0,39.46,4.76,0.705,9.0,13.86,14.5,1.0,0.0,0.0,0.0
"Cereal, shredded wheat, plain",1 cup,45.0,22.0,73.85,1.17,1.68,36.0,11.88,2.0,0.0,0.0,0.0,33.232499999999995,5.346,0.7559999999999999,9.9,0.5265,16.2,0.9,0.0,0.0,0.0
"Cereal, wheat flakes",Quantity not specified,40.0,19.0,76.27,27.62,1.47,30.0,10.06,574.0,0.0,22.7,4.9,30.507999999999996,4.024,0.588,7.6,11.048,12.0,229.6,9.08,1.96,0.0
"Cereal, wheat squares",1 cup,60.0,338.0,75.04,27.83,1.52,31.0,10.48,578.0,0.0,22.8,5.0,45.02400000000001,6.288,0.912,202.8,16.698,18.6,346.8,13.68,3.0,0.0
Ceviche,Quantity not specified,125.0,22.0,3.58,0.16,0.76,20.0,10.53,149.0,22.0,18.6,5.1,4.475,13.1625,0.95,27.5,0.2,25.0,186.25,23.25,6.375,27.5
Champagne punch,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,20.7,0.28800000000000003,0.10799999999999998,14.4,0.45,14.4,7.2,7.2,0.0,0.0
Channa Saag,1 cup,245.0,66.0,8.79,1.58,4.33,81.0,4.1,270.0,221.0,16.0,0.0,21.5355,10.044999999999998,10.6085,161.7,3.8710000000000004,198.45,661.5,39.2,0.0,541.45
"Chard, cooked",Quantity not specified,75.0,54.0,3.9,1.88,2.95,84.0,1.88,352.0,315.0,21.9,0.0,2.925,1.41,2.2125,40.5,1.41,63.0,264.0,16.425,0.0,236.25
"Chard, raw",1 leaf,48.0,51.0,3.74,1.8,0.2,81.0,1.8,213.0,306.0,30.0,0.0,1.7952000000000001,0.8640000000000001,0.09600000000000002,24.48,0.8640000000000001,38.88,102.24,14.4,0.0,146.88
Cheese ball,Quantity not specified,30.0,391.0,4.84,0.62,38.88,48.0,17.89,554.0,201.0,0.9,0.4,1.452,5.367000000000001,11.664000000000001,117.3,0.18600000000000003,14.4,166.2,0.27,0.12,60.3
Cheese dip,Quantity not specified,60.0,71.0,7.86,0.56,13.27,6.0,3.14,656.0,19.0,0.0,0.0,4.716,1.8840000000000001,7.962,42.6,0.336,3.6,393.6,0.0,0.0,11.4
Cheese dip with chili pepper,Quantity not specified,60.0,98.0,11.14,0.14,9.51,8.0,3.14,796.0,33.0,0.4,0.0,6.684000000000001,1.8840000000000001,5.706,58.8,0.084,4.8,477.6,0.24,0.0,19.8
Cheese flavored corn snacks,1 large single serving bag,85.0,53.0,54.54,1.69,36.54,18.0,5.46,928.0,13.0,0.1,0.1,46.358999999999995,4.641,31.059,45.05,1.4365,15.3,788.8,0.085,0.085,11.05
Cheese flavored corn snacks (Cheetos),1 medium single serving bag,57.0,53.0,54.54,1.69,36.54,18.0,5.46,928.0,13.0,0.1,0.1,31.087799999999998,3.1121999999999996,20.827799999999996,30.21,0.9632999999999999,10.26,528.96,0.057,0.057,7.41
"Cheese flavored corn snacks, reduced fat",1 large single serving bag,85.0,357.0,72.35,1.28,12.1,41.0,8.5,842.0,44.0,21.4,0.0,61.49749999999999,7.225,10.285,303.45,1.088,34.85,715.7,18.189999999999998,0.0,37.4
Cheese fondue,1 tablespoon,13.0,639.0,1.95,0.32,21.2,27.0,19.32,303.0,188.0,0.0,0.2,0.2535,2.5116,2.756,83.07,0.0416,3.51,39.39,0.0,0.026000000000000002,24.44
Cheese pastry puffs,Quantity not specified,70.0,121.0,13.4,1.38,19.54,13.0,9.3,554.0,212.0,0.0,1.3,9.38,6.51,13.677999999999999,84.7,0.966,9.1,387.8,0.0,0.91,148.4
"Cheese quiche, meatless",1 individual quiche,113.0,267.0,13.74,1.0,29.23,17.0,11.91,361.0,239.0,0.5,1.2,15.526200000000001,13.4583,33.029900000000005,301.71,1.13,19.21,407.93,0.565,1.3559999999999999,270.07
"Cheese sandwich, American cheese, on wheat bread",Quantity not specified,102.0,532.0,29.67,2.16,13.52,45.0,13.62,848.0,108.0,0.1,2.7,30.2634,13.8924,13.7904,542.64,2.2032000000000003,45.9,864.96,0.10200000000000001,2.7540000000000004,110.16
"Cheese sandwich, American cheese, on white bread",Quantity not specified,102.0,561.0,31.89,2.28,13.29,28.0,12.46,853.0,108.0,0.0,2.7,32.5278,12.709200000000001,13.5558,572.22,2.3255999999999997,28.56,870.06,0.0,2.7540000000000004,110.16
"Cheese sandwich, NFS",1 sandwich,102.0,561.0,31.89,2.28,13.29,28.0,12.46,853.0,108.0,0.0,2.7,32.5278,12.709200000000001,13.5558,572.22,2.3255999999999997,28.56,870.06,0.0,2.7540000000000004,110.16
"Cheese sandwich, cheddar cheese, on wheat bread",1 sandwich,102.0,386.0,27.72,1.92,16.34,44.0,16.3,528.0,130.0,0.1,0.2,28.2744,16.626,16.666800000000002,393.72,1.9584000000000001,44.88,538.56,0.10200000000000001,0.20400000000000001,132.6
"Cheese sandwich, cheddar cheese, on white bread",Quantity not specified,102.0,415.0,29.95,2.04,16.11,27.0,15.14,534.0,130.0,0.0,0.2,30.549,15.4428,16.4322,423.3,2.0808,27.54,544.68,0.0,0.20400000000000001,132.6
"Cheese sandwich, reduced fat cheese, on wheat bread",1 sandwich,102.0,313.0,31.08,1.94,8.14,47.0,13.95,753.0,103.0,0.1,2.2,31.7016,14.229,8.302800000000001,319.26,1.9788,47.94,768.06,0.10200000000000001,2.244,105.06
